,maker,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Acura,165436,167843,177165,161360,154602,158934.0,157385.0,136983.0,157408.0,102306
1,Alfa Romeo,0,91,663,516,12031,23800.0,18292.0,18586.0,18250.0,12845
2,Aston Martin,0,0,1020,1032,684,984.0,1164.0,1632.0,1350.0,1845
3,Audi,142083,163494,183207,179650,188165,185906.0,189462.0,161249.0,170676.0,167567
4,BMW,309280,339738,346023,313174,305685,311014.0,324826.0,278732.0,336644.0,332388
5,Bentley,0,0,2686,2581,2405,2395.0,1882.0,1553.0,3350.0,3837
6,Buick,205509,228963,223055,229631,219231,206863.0,206929.0,162741.0,179799.0,103519
7,Cadillac,182543,170750,175265,170006,156440,154702.0,156246.0,129495.0,118310.0,134726
8,Chevrolet,2232920,2311052,2402983,2338703,2356337,2365804.0,2295517.0,2033020.0,1680270.0,1802440
9,Chrysler,313393,323186,340658,247709,205748,181898.0,143438.0,126259.0,139934.0,132852
10,Dodge,596343,574155,517153,506858,446996,459324.0,422886.0,267328.0,215724.0,190795
11,Ferrari,0,0,2258,2398,2517,2488.0,2587.0,2028.0,378.0,461
12,Fiat,43236,46121,42410,32742,26492,15521.0,9200.0,4303.0,2374.0,915
13,Ford,2403542,2376841,2501855,2487487,2464041,2381635.0,2293984.0,1929298.0,1804824.0,1767439
14,GMC,636219,716756,812913,805757,810736,809495.0,830094.0,793517.0,755487.0,787844
15,Honda,1359874,1373029,1409386,1476582,1486828,1445894.0,1450785.0,1209805.0,1309222.0,881201
16,Hyundai,720783,725718,761710,768057,664961,667634.0,688771.0,622269.0,738081.0,724265
17,Infiniti,116455,117330,133498,138293,153415,149280.0,117708.0,79502.0,58553.0,46619
18,Jaguar,15606,14321,14173,31240,39594,30483.0,31051.0,17976.0,13818.0,9781
19,Jeep,490454,692348,865028,926376,828522,973227.0,923291.0,795313.0,556063.0,455247
20,Kia,535179,580234,625818,647598,589668,589673.0,615338.0,586105.0,701416.0,693549
21,Lamborghini,0,0,1009,1041,1095,1595.0,2716.0,2263.0,2412.0,2567
22,Lexus,273847,311389,344601,331228,305132,298310.0,298114.0,275041.0,304476.0,258704
23,Lincoln,81694,94474,101227,111724,111159,103587.0,112204.0,105410.0,86929.0,83486
24,Lucid Motors,0,0,0,0,0,0.0,0.0,0.0,577.0,2656
25,MINI,66502,56112,58514,52030,47105,43684.0,36092.0,28138.0,29930.0,29504
26,Maserati,0,0,11700,12534,13711,11402.0,8150.0,5214.0,7682.0,6819
27,Mazda,283947,305801,319183,297773,289470,300325.0,278552.0,279076.0,332756.0,294909
28,Mercedes0Benz,334344,356136,372977,374541,372240,354139.0,357729.0,325915.0,332171.0,356781
29,Mitsubishi,62227,77643,95342,96267,103686,118074.0,121046.0,87387.0,102037.0,85810
30,Nissan,1131965,1269565,1351420,1426130,1440049,1344597.0,1227973.0,819715.0,919086.0,682731
31,Polestar,0,0,0,0,0,0.0,0.0,0.0,2418.0,9471
32,Porsche,42323,47007,51756,54279,55420,57202.0,61568.0,57294.0,70025.0,70065
33,Ram,367843,469139,493807,545851,556790,597368.0,703023.0,624642.0,647331.0,545194
34,Rivian,0,0,0,0,0,0.0,0.0,0.0,584.0,20332
35,Scion,68321,58009,56167,12028,205,5.0,1.0,0.0,0.0,0
36,Subaru,424683,513693,582675,615132,647956,680135.0,700117.0,611942.0,583810.0,556581
37,Suzuki,5946,0,0,0,0,0.0,0.0,0.0,0.0,0
38,Tesla,18650,16550,26608,47184,49970,187967.0,178950.0,205600.0,348094.0,522444
39,Toyota,1893874,2004373,2098545,2106374,2129178,2128359.0,2085234.0,1837900.0,2027786.0,1849753
40,VW,407704,366970,349440,322948,339676,354064.0,363322.0,325784.0,375031.0,301069
41,Volvo,61233,56366,70047,82724,81504,98263.0,108234.0,110129.0,122173.0,102038
42,smart,9264,10453,7484,6211,3071,1276.0,680.0,0.0,0.0,0
